,value
2024-01-02,0
2024-01-03,-283
2024-01-04,-275
2024-01-05,-217
2024-01-08,117
2024-01-09,-75
2024-01-10,-9
2024-01-11,-59
2024-01-12,-26
2024-01-16,-242
2024-01-17,-518
2024-01-18,-355
2024-01-19,-114
2024-01-22,101
2024-01-23,129
2024-01-24,-82
2024-01-25,196
2024-01-26,239
2024-01-29,471
2024-01-30,515
2024-01-31,177
2024-02-01,473
2024-02-02,447
2024-02-05,130
2024-02-06,322
2024-02-07,466
2024-02-08,515
2024-02-09,637
2024-02-12,782
2024-02-13,403
2024-02-14,686
2024-02-15,997
2024-02-16,844
2024-02-20,728
2024-02-21,868
2024-02-22,1113
2024-02-23,1286
2024-02-26,1126
2024-02-27,1249
2024-02-28,1270
2024-02-29,1413
2024-03-01,1520
2024-03-04,1625
2024-03-05,1470
2024-03-06,1710
2024-03-07,1932
2024-03-08,1917
2024-03-11,1975
2024-03-12,2078
2024-03-13,2113
2024-03-14,1844
2024-03-15,1794
2024-03-18,1912
2024-03-19,2176
2024-03-20,2432
2024-03-21,2678
2024-03-22,2438
2024-03-25,2319
2024-03-26,2274
2024-03-27,2650
2024-03-28,2865
2024-04-01,2645
2024-04-02,2357
2024-04-03,2415
2024-04-04,2060
2024-04-05,2301
2024-04-08,2363
2024-04-09,2494
2024-04-10,2159
2024-04-11,2139
2024-04-12,1732
2024-04-15,1388
2024-04-16,1215
2024-04-17,1116
2024-04-18,1130
2024-04-19,1269
2024-04-22,1597
2024-04-23,1888
2024-04-24,1945
2024-04-25,1835
2024-04-26,1864
2024-04-29,2071
2024-04-30,1692
2024-05-01,1670
2024-05-02,1881
2024-05-03,2122
2024-05-06,2395
2024-05-07,2537
2024-05-08,2525
2024-05-09,2837
2024-05-10,2934
2024-05-13,2852
2024-05-14,2986
2024-05-15,3220
2024-05-16,3168
2024-05-17,3257
2024-05-20,3206
2024-05-21,3209
2024-05-22,3072
2024-05-23,2695
2024-05-24,2908
2024-05-28,2684
2024-05-29,2304
2024-05-30,2515
2024-05-31,2832
2024-06-03,2673
2024-06-04,2630
2024-06-05,2785
2024-06-06,2674
2024-06-07,2548
2024-06-10,2633
2024-06-11,2488
2024-06-12,2582
2024-06-13,2457
2024-06-14,2223
2024-06-17,2443
2024-06-18,2582
2024-06-20,2651
2024-06-21,2726
2024-06-24,2925
2024-06-25,2683
2024-06-26,2518
2024-06-27,2596
2024-06-28,2614
2024-07-01,2369
2024-07-02,2544
2024-07-03,2545
2024-07-05,2517
2024-07-08,2568
2024-07-09,2468
2024-07-10,2754
2024-07-11,3026
2024-07-12,3334
2024-07-15,3400
2024-07-16,3780
2024-07-17,3761
2024-07-18,3503
2024-07-19,3295
2024-07-22,3586
2024-07-23,3471
2024-07-24,3291
2024-07-25,3351
2024-07-26,3722
2024-07-29,3762
2024-07-30,3920
2024-07-31,3993
2024-08-01,3834
2024-08-02,3592
2024-08-05,3140
2024-08-06,3437
2024-08-07,3228
2024-08-08,3636
2024-08-09,3729
2024-08-12,3555
2024-08-13,3899
2024-08-14,4003
2024-08-15,4325
2024-08-16,4458
2024-08-19,4783
2024-08-20,4634
2024-08-21,4939
2024-08-22,4856
2024-08-23,5215
2024-08-26,5237
2024-08-27,5227
2024-08-28,5152
2024-08-29,5316
2024-08-30,5677
2024-09-03,5463
2024-09-04,5436
2024-09-05,5197
2024-09-06,4865
2024-09-09,5199
2024-09-10,5238
2024-09-11,5222
2024-09-12,5469
2024-09-13,5804
2024-09-16,6069
2024-09-17,6110
2024-09-18,6035
2024-09-19,6239
2024-09-20,6112
2024-09-23,6330
2024-09-24,6341
2024-09-25,6119
2024-09-26,6267
2024-09-27,6422
2024-09-30,6543
2024-10-01,6371
2024-10-02,6327
2024-10-03,6065
2024-10-04,6293
2024-10-07,6006
2024-10-08,6144
2024-10-09,6394
2024-10-10,6219
2024-10-11,6581
2024-10-14,6877
2024-10-15,6858
2024-10-16,7072
2024-10-17,7044
2024-10-18,7183
2024-10-21,6856
2024-10-22,6728
2024-10-23,6586
2024-10-24,6596
2024-10-25,6408
2024-10-28,6614
2024-10-29,6453
2024-10-30,6438
2024-10-31,6211
2024-11-01,6200
2024-11-04,6242
2024-11-05,6626
2024-11-06,6811
2024-11-07,6853
2024-11-08,7006
2024-11-11,7124
2024-11-12,6927
2024-11-13,6941
2024-11-14,6723
2024-11-15,6589
2024-11-18,6740
2024-11-19,6646
2024-11-20,6759
2024-11-21,7125
2024-11-22,7374
2024-11-25,7631
2024-11-26,7694
2024-11-27,7713
2024-11-29,7801
2024-12-02,7665
2024-12-03,7497
2024-12-04,7482
2024-12-05,7343
2024-12-06,7264
2024-12-09,7191
2024-12-10,6992
2024-12-11,6984
2024-12-12,6841
2024-12-13,6662
2024-12-16,6544
2024-12-17,6283
2024-12-18,5821
2024-12-19,5716
2024-12-20,6103
2024-12-23,6147
2024-12-24,6570
2024-12-26,6622
2024-12-27,6221
2024-12-30,5792
2024-12-31,5853
2025-01-02,5720
2025-01-03,6008
2025-01-06,5981
2025-01-07,5887
2025-01-08,5977
2025-01-10,5607
2025-01-13,5837
2025-01-14,6098
2025-01-15,6338
2025-01-16,6591
2025-01-17,6775
2025-01-21,7107
2025-01-22,6968
2025-01-23,7116
2025-01-24,7122
2025-01-27,7298
2025-01-28,7125
2025-01-29,7053
2025-01-30,7374
2025-01-31,7117
2025-02-03,6982
2025-02-04,6982
2025-02-05,7184
2025-02-06,7207
2025-02-07,6985
2025-02-10,7069
2025-02-11,7084
2025-02-12,6911
2025-02-13,7191
2025-02-14,7113
2025-02-18,7320
2025-02-19,7403
2025-02-20,7360
2025-02-21,7098
2025-02-24,7148
2025-02-25,7226
2025-02-26,7141
2025-02-27,7006
2025-02-28,7384
2025-03-03,7219
2025-03-04,6885
2025-03-05,7135
2025-03-06,6944
2025-03-07,7124
2025-03-10,6919
2025-03-11,6672
2025-03-12,6556
2025-03-13,6303
2025-03-14,6706
2025-03-17,7122
2025-03-18,6932
2025-03-19,7172
2025-03-20,7035
2025-03-21,6843
2025-03-24,7191
2025-03-25,7128
2025-03-26,7141
2025-03-27,7057
2025-03-28,6736
2025-03-31,7003
2025-04-01,7109
2025-04-02,7388
2025-04-03,7076
2025-04-04,6605
2025-04-07,6439
2025-04-08,6084
2025-04-09,6567
2025-04-10,6215
2025-04-11,6586
2025-04-14,6946
2025-04-15,6855
2025-04-16,6487
2025-04-17,6745
2025-04-21,6316
2025-04-22,6795
2025-04-23,7028
2025-04-24,7338
2025-04-25,7263
2025-04-28,7437
2025-04-29,7681
2025-04-30,7814
2025-05-01,7746
2025-05-02,8155
2025-05-05,8039
2025-05-06,7827
2025-05-07,8053
2025-05-08,8251
2025-05-09,8227
2025-05-12,8545
2025-05-13,8544
2025-05-14,8352
2025-05-15,8579
2025-05-16,8966
2025-05-19,8980
2025-05-20,8830
2025-05-21,8368
2025-05-22,8252
2025-05-23,8102
2025-05-27,8532
2025-05-28,8206
2025-05-29,8409
2025-05-30,8434
2025-06-02,8407
2025-06-03,8621
2025-06-04,8519
2025-06-05,8406
2025-06-06,8736
2025-06-09,8750
2025-06-10,8891
2025-06-11,8732
2025-06-12,8837
2025-06-13,8476
2025-06-16,8703
2025-06-17,8381
2025-06-18,8370
2025-06-20,8460
2025-06-23,8755
2025-06-24,9011
2025-06-25,8788
2025-06-26,9030
2025-06-27,9204
2025-06-30,9405
2025-07-01,9645
2025-07-02,9720
2025-07-03,9927
2025-07-07,9626
2025-07-08,9655
2025-07-09,9767
2025-07-10,9966
2025-07-11,9691
2025-07-14,9771
2025-07-15,9374
2025-07-16,9563
2025-07-17,9810
2025-07-18,9825
2025-07-21,9690
2025-07-22,9985
2025-07-23,10174
2025-07-24,10110
2025-07-25,10283
2025-07-28,10075
2025-07-29,10085
2025-07-30,9912
2025-07-31,9693
2025-08-01,9475
2025-08-04,9838
2025-08-05,9773
2025-08-06,9750
2025-08-07,9749
2025-08-08,9844
2025-08-11,9699
2025-08-12,9998
2025-08-13,10315
2025-08-14,10100
2025-08-15,10003
2025-08-18,9967
2025-08-19,10156
2025-08-20,10173
2025-08-21,10003
2025-08-22,10342
2025-08-25,10046
2025-08-26,10079
2025-08-27,10258
2025-08-28,10207
2025-08-29,10260
2025-09-02,10001
2025-09-03,9947
2025-09-04,10179
2025-09-05,10212
2025-09-08,10202
2025-09-09,10116
2025-09-10,10030
2025-09-11,10396
2025-09-12,10133
2025-09-15,10034
2025-09-16,9907
2025-09-17,9989
2025-09-18,10134
2025-09-19,10068
2025-09-22,10065
2025-09-23,10115
2025-09-24,10045
2025-09-25,9781
2025-09-26,10131
2025-09-29,10248
2025-09-30,10340
2025-10-01,10274
2025-10-02,10325
2025-10-03,10464
2025-10-06,10437
2025-10-07,10338
2025-10-08,10375
2025-10-09,10117
2025-10-10,9772
2025-10-13,9984
2025-10-14,10254
2025-10-15,10248
2025-10-16,10014
2025-10-17,10230
2025-10-20,10555
2025-10-21,10652
2025-10-22,10543
2025-10-23,10611
2025-10-24,10635
2025-10-27,10780
2025-10-28,10493
2025-10-29,10246
2025-10-30,10208
2025-10-31,10238
2025-11-03,10116
2025-11-04,10051
2025-11-05,10169
2025-11-06,9989
2025-11-07,10261
2025-11-10,10391
2025-11-11,10574
2025-11-12,10662
2025-11-13,10417
2025-11-14,10287
2025-11-17,9975
2025-11-18,9967
2025-11-19,9865
2025-11-20,9662
2025-11-21,10051
2025-11-24,10073
2025-11-25,10422
2025-11-26,10645
2025-11-28,10896
2025-12-01,10665
2025-12-02,10598
2025-12-03,10771
2025-12-04,10779
2025-12-05,10792
2025-12-08,10609
2025-12-09,10542
2025-12-10,10819
2025-12-11,11051
2025-12-12,10990
2025-12-15,11056
2025-12-16,10826
2025-12-17,10834
2025-12-18,10865
2025-12-19,10932
2025-12-22,11212
2025-12-23,11144
2025-12-24,11420
2025-12-26,11455
2025-12-29,11370
2025-12-30,11253
2025-12-31,10789
2026-01-02,10940
2026-01-05,11120
2026-01-06,11374
2026-01-07,11102
2026-01-08,11308
2026-01-09,11370
2026-01-12,11365
2026-01-13,11391
2026-01-14,11524
2026-01-15,11643
2026-01-16,11595
2026-01-20,11295
2026-01-21,11619
2026-01-22,11688
2026-01-23,11555
2026-01-26,11688
2026-01-27,11656
2026-01-28,11534
2026-01-29,11608
2026-01-30,11595
2026-02-02,11675
2026-02-03,11714
2026-02-04,11936
2026-02-05,11797
2026-02-06,12093
