Date,advances,declines,net_advances,ad_line
2024-01-02,435,441,-6,-8799
2024-01-03,278,600,-322,-9121
2024-01-04,272,608,-336,-9457
2024-01-05,340,510,-170,-9627
2024-01-08,354,495,-141,-9768
2024-01-09,566,285,281,-9487
2024-01-10,333,529,-196,-9683
2024-01-11,431,434,-3,-9686
2024-01-12,266,613,-347,-10033
2024-01-15,302,569,-267,-10300
2024-01-16,226,644,-418,-10718
2024-01-17,71,839,-768,-11486
2024-01-18,416,441,-25,-11511
2024-01-19,513,342,171,-11340
2024-01-22,293,570,-277,-11617
2024-01-23,478,376,102,-11515
2024-01-24,269,603,-334,-11849
2024-01-25,417,442,-25,-11874
2024-01-26,544,310,234,-11640
2024-01-29,516,358,158,-11482
2024-01-30,487,382,105,-11377
2024-01-31,345,520,-175,-11552
2024-02-01,660,237,423,-11129
2024-02-02,704,177,527,-10602
2024-02-05,427,456,-29,-10631
2024-02-06,264,603,-339,-10970
2024-02-07,633,238,395,-10575
2024-02-08,441,432,9,-10566
2024-02-13,591,283,308,-10258
2024-02-14,375,503,-128,-10386
2024-02-15,325,536,-211,-10597
2024-02-16,620,246,374,-10223
2024-02-19,610,261,349,-9874
2024-02-20,277,584,-307,-10181
2024-02-21,309,549,-240,-10421
2024-02-22,343,506,-163,-10584
2024-02-23,336,512,-176,-10760
2024-02-26,231,651,-420,-11180
2024-02-27,144,740,-596,-11776
2024-02-28,557,295,262,-11514
2024-02-29,336,542,-206,-11720
2024-03-04,432,437,-5,-11725
2024-03-05,278,601,-323,-12048
2024-03-06,339,530,-191,-12239
2024-03-07,297,581,-284,-12523
2024-03-08,516,346,170,-12353
2024-03-11,350,514,-164,-12517
2024-03-12,362,489,-127,-12644
2024-03-13,441,424,17,-12627
2024-03-14,499,365,134,-12493
2024-03-15,319,542,-223,-12716
2024-03-18,425,440,-15,-12731
2024-03-19,274,596,-322,-13053
2024-03-20,475,376,99,-12954
2024-03-21,648,213,435,-12519
2024-03-22,479,379,100,-12419
2024-03-25,335,521,-186,-12605
