Date,above_20,above_60,above_120,above_200
2024-01-02,,,,
2024-01-03,,,,
2024-01-04,,,,
2024-01-05,,,,
2024-01-08,,,,
2024-01-09,,,,
2024-01-10,,,,
2024-01-11,,,,
2024-01-12,,,,
2024-01-15,,,,
2024-01-16,,,,
2024-01-17,,,,
2024-01-18,,,,
2024-01-19,,,,
2024-01-22,,,,
2024-01-23,,,,
2024-01-24,,,,
2024-01-25,,,,
2024-01-26,,,,
2024-01-29,,,,
2024-01-30,31.16929515643342,44.056550808962385,39.17725718368805,31.985913336395654
2024-01-31,30.760986066452308,42.86735058439238,38.81488286632981,31.735824018782214
2024-02-01,31.26116470167917,42.418210585413156,38.94758332057367,31.843005154902265
2024-02-02,32.42484560812535,42.377379676415046,39.371204001429085,32.174756290511915
2024-02-05,33.598734241821056,42.377379676415046,39.881590363905474,32.51161128974634
2024-02-06,34.66033787577196,42.29061399479406,40.34093809013423,32.78211606185883
2024-02-07,35.80870719134385,42.20895217679784,40.79007808911346,33.07814015209514
2024-02-08,37.13571173378247,42.21915990404736,41.305568315214614,33.45582606032767
2024-02-13,38.62603991221354,42.38248354003981,41.89251263206248,33.945796968305004
2024-02-14,40.40728831725617,42.698923084775174,42.55601490328178,34.43576787628235
2024-02-15,42.336548767416936,43.07150512938294,43.21441331087633,34.8389731026387
2024-02-16,44.72515694380646,43.74011126422702,44.087173990710966,35.48205991935896
2024-02-19,47.75685193691625,45.20492012453427,45.419282396774356,36.518144235186035
2024-02-20,50.48741897616496,46.62379421221865,46.70035216659011,37.48787832389119
2024-02-21,52.927065788802125,47.8334098912877,47.86913693666105,38.268769458480065
2024-02-22,55.0962078293268,49.03792170673199,49.01240238860817,39.16194559281376
2024-02-23,56.9233910069923,50.10973306793242,50.063798295309546,39.973459909151224
2024-02-26,58.21466850405758,51.07436329301281,51.053947838513764,40.75435104374011
2024-02-27,58.595775203113554,51.715160474980635,51.842500233061855,41.32903297303553
2024-02-28,58.930783193884196,52.38136222010854,52.66155012535067,41.934294367902886
2024-02-29,58.80658007147814,52.726140776362136,53.291839031354435,42.39153825313
2024-03-04,58.47818415242694,52.99943245473655,53.789427483114345,42.78243191123517
2024-03-05,57.971338800259815,53.23712823626757,54.21564381195879,43.15298661815046
2024-03-06,56.90825974534672,52.99000615414476,54.218299569690735,43.2326156339321
2024-03-07,55.36546122588247,52.33978267158517,53.9148328003785,43.04693663810143
2024-03-08,54.006237861247264,51.73030266567037,53.6725249622101,42.91734549692232
2024-03-11,52.61143499333492,51.263752699337296,53.445583360136816,42.91533455279608
2024-03-12,51.00735732324101,50.6339282777105,53.14206194560374,42.71434943061319
2024-03-13,49.387913417052005,50.0193935888697,52.838496814894015,42.5133041986874
2024-03-14,47.64065433936059,49.33838298889904,52.55013944913902,42.28157567527012
2024-03-15,45.806722476923596,48.580923724998584,52.12411437856744,42.10601150981357
2024-03-18,44.02889486270443,47.93058002295318,51.846019385282794,41.98144772895009
2024-03-19,41.893900620671346,47.111841608423056,51.399529679513435,41.657915234552036
2024-03-20,39.85042619447076,46.19602049458078,50.87639458701929,41.3138579952133
2024-03-21,38.44448663055492,45.48926653108095,50.51645198198763,41.092195121471406
2024-03-22,37.51288944146136,44.94577062930857,50.29930280348562,41.00317805675256
2024-03-25,36.749796255294164,44.57063665288842,50.10258547304892,40.89372914396841
2024-03-26,36.43565180983332,44.328137556447146,49.97730583979267,40.83020407476297
2024-03-27,36.642194350973796,44.15213622922403,49.90313041704905,40.87386560619965
2024-03-28,37.396757418170694,44.28979300499643,50.02039359641073,41.03191597838279
2024-03-29,37.659747566536836,44.05821117623612,49.880217611669934,41.07565860683381
2024-04-01,38.371053307443276,44.17306965612798,49.99986367916838,41.200882922762254
2024-04-02,38.65451339188586,44.033248105549404,49.95144251977606,41.27517777599652
2024-04-03,38.82102110846285,43.81207028265852,49.7757794961473,41.31389834501057
2024-04-04,39.11493972710751,43.68261456811652,49.661291808917454,41.398449977616124
2024-04-05,39.235741795258114,43.53798361859831,49.55709907089173,41.47290841584833
2024-04-08,39.02024582462924,43.23538408939593,49.26438007556536,41.40980277647365
2024-04-09,38.92203484469513,42.98373583422078,48.9920873936493,41.35686667113799
2024-04-11,38.721948580872876,42.569162373923675,48.55679861977884,41.30400690546804
